,问题,选项1,选项2,选项3,选项4,答案
15,以下哪句话中“主持”的意思(或用法)与其他句子不同。,一力主持,当大队长最神气的事是星期一主持升旗仪式。下雨不升天晴升。天晴的星期一梅思繁精神抖擞。她宣布升旗仪式开始国歌就响了。她声音响亮，站在我们住的第九宿舍窗口听得清清楚楚。但是我怀疑她又驼背了,人们最看重的是特权，哪怕是主持葬礼特权。詹·拉·洛威,要尽快明确改革“顶层设计”的主持机构，清晰界定要建立的“市场经济”内涵，据此制定具体实施措施，再辅以强有力的推进。否则，会出现类似“大跃进”、“洋跃进”的消极后果,A
16,以下哪句话中“冲击”的意思(或用法)与其他句子不同。,正因台商具有多项利基，产业界对金融风暴的冲击，倾向用「短空长多」来形容——只要渡过眼前价格混乱、景气浑沌的调整期，元气饱满的台商，相较於里外受创的对手，优势仍在。,但这类大卖场为社会带来什么样的冲击？,沉雷冲击了乌云的重重包围，像爆炸似的响着，从西北方向滚动过来,有时一小我私家受到恶运的可怕冲击，不管这恶运是来自公家或者小我私家，倒可能是件功德。命运之神的无情连枷打在一捆捆丰收的庄稼上，只把秆子打烂了，但谷粒是什么也没感受到，它仍在场上欢蹦乱跳，绝不体贴它是要前往磨坊还是掉进犁沟,C
17,以下哪句话中“充满”的意思(或用法)与其他句子不同。,一个充满欢声笑语的初中生活，一个充满喜怒哀乐的初中生活，一个充满酸甜苦辣的初中生活,春天，他轻轻地吹了一口气，带给我们一片充满生机的绿色。你瞧，禾苗哥哥穿上了碧绿的礼服，柳树姐姐换上了翠绿的长裙，连小草弟弟也不甘落后，披上了嫩绿的外套,春天像一位作家，他的文章到处充满诗情画意，令人回味无穷,行走在大山深处，细细地读山，慢慢地品山。那些充满了野性的粗犷草莽，让我真正融入大自然中，领略世间的大美。看万物无限地生长，听内心深处的感受，让我像听一曲交响乐般浮想联翩，妙不可言,B
18,以下哪句话中“突出”的意思(或用法)与其他句子不同。,她的一双手很大，骨节突出，颜色发灰，手掌全是茧子，看上去像满是锈斑的铁耙,阮小七疙疸脸横生怪肉，玲珑眼突出双睛。腮边长短淡黄须，身上交加乌黑点。浑如,他突出了敌人的包围圈,他胸脯是宽的。但肋骨突出着像在陷落,C
19,以下哪句话中“出路”的意思(或用法)与其他句子不同。,态度决定高度，思路决定出路，细节关乎命运,观念决定思路，思路决定出路,最好的出路永远是朝前走完全程。罗伯特·弗罗斯,人生像攀登一座山，而找寻出路，却是一种学习的过程，我们应当在这过程中，学习稳定、冷静，学习如何从慌乱中找到生机。席慕蓉,D
20,以下哪句话中“出去”的意思(或用法)与其他句子不同。,吃过午饭后，天气热的呆不住，于是我打算出去，找个好地方乘凉。我打着雨伞出门，我想去附近的公园里，走在路上，虽然打着雨伞，但还是感觉热呼呼的，像是坐在火炉旁边似的,网络就像是监狱，本来是偷了个钱包进来的，等出去的时候就什么都学会了,出去练足球,从歌星成功的经验看，豁出去的精神是事业成功的性格基础,C
21,以下哪句话中“除了”的意思(或用法)与其他句子不同。,生命是宝贵的，生命也是唯一的，也是脆弱的。除了自己的生命之外，我们还要尊重与爱护他人的生命，自己的生命才能得到他人的爱护与尊重。所以我们不要做伤害他人的事,精神振作的商人，除了有小心谨慎的习惯之外，还得要有敏捷和不因循两种长处,"除了老王,我都通知到了",有的花刚刚开，除了那白色的花瓣，还露出了里面黄色的花芯，有的还是花骨朵儿，看上去马上要裂开似的。美丽极了,C
22,以下哪句话中“从事”的意思(或用法)与其他句子不同。,"品其名位,犹不失下曹从事。——《资治通鉴》",教育的事业并非使年轻人能完美地从事科学研究，而是要开阔年轻人的心胸，使其能尽力运用自己之所长,农民以体力劳动从事耕耘，商人以其审时观变从事贸易，手工业者以其精工巧技制造器械,工作过分轻松随意的人，无论从事任何领域的工作都不可能获得真正的成功,A
23,以下哪句话中“存在”的意思(或用法)与其他句子不同。,如果在这个世界上必须有苦难存在，那就让它存在吧。但总应该留下一线光明。至少留下一点希望的闪光，以促使人类中较高尚的部分，怀着希望，不停地奋斗，以减轻这种苦难,你们之间存在着这种问题，那你要先问问自己，是否真正在爱才好,现在，阳光明媚，也许那个梦想并没有破碎，它依然存在着，只不过蜕变了，蛹破化蝶，等了接近七年，一个新的梦想再次占据了我的一切,"""假如没有春风的存在,春天会失去她一半的妩媚""",D
24,以下哪句话中“打击”的意思(或用法)与其他句子不同。,似乎是没有欲求的开端，总是以备受打击而结束,被告毁谤、侄儿在做田野调查时掉落日月潭淹死、照顾他长大的二姐癌症病逝……，接二连三的打击，让邓相扬极度哀伤，心灰意冷。,我们中国人，愈是承受压力，愈是饱受打击，就愈执着，愈倔强,你遇到艰难、打击、失败、挫折，都是往面粉中间掺水，掺水的过程就是不断的揉，最后慢慢就变成了面团，再拍就散不了了。继续往后揉的话它就变成了拉面，你可以拉，可以揉，可以变形，但是它就是不断,B
25,以下哪句话中“大力”的意思(或用法)与其他句子不同。,大力普及九年义务教育，提高全民族的素质,蚂蚁真是名副其实的大力士啊！难怪人们常说：千里江堤毁于蚁穴。只要具备了蚂蚁们那种团结协作，不畏艰辛的精神，世上还有什么事情办不成呢,改变中国教育的形态，推进学习社区教育功能两件事：大力培养学生强烈的信息意识,大力发展经济，不断增强国防实力,B
26,以下哪句话中“大门”的意思(或用法)与其他句子不同。,跨进校园大门，绕过正前方的圆形花坛，穿过笔直的水泥路，就来到大草坪。那里像在大地上披着一块柔软的绿毯，绿色直逼你的双眼，让人好不赏心悦目,进入农场的大门，我们又穿过一片小树林，跨过一条小沟，来到了一大片玉米地。只见地里的玉米长得个儿大粒儿多好像一个个害羞的少女，把衣服裹得紧紧的，只露出金色的发丝在风中飘荡,她挤进大门，把担子撂下地；走上前去，将地上的草揽好，用膝头压着，俯下身，双手使劲勒紧草腰子，提起来，扔到院墙角落,我最喜欢读书搜索，因为书是一把打开人生大门的金钥匙…,D
27,以下哪句话中“待遇”的意思(或用法)与其他句子不同。,要给员工好的待遇及前途，让他们有受重视的感觉。当然，还要有良好的监督和制衡制度，不然山高皇帝远，一个好人也会变坏,到目前为止，已有五十五个国家给予香港特区护照持有人免签证入境待遇，其它不少国家和地区也给予签证方面的便利。,我们的国家实行社会主义民主，公民的政治待遇是平等的,我是一名科技人员，不是什么大官，那些官的待遇，我一样也不想要,A
28,以下哪句话中“一代”的意思(或用法)与其他句子不同。,一代宗臣,古筝它演绎了扬州的风雅韵事！它熏陶了一代一代的古筝爱好者，如果将扬州的古筝史比作一个人的成长经历的话，那如今她已经成长为一名成熟细腻的灵秀女子，她有着她独特的个人魅力吸引着一批批地艺术者走进它的灵魂世界，与她共鸣，与她共慰共进…,仓促，短暂，狂想，就是我们这一代人的青春。它们就像一条条河流，密密的交际在一起，涓涓的流过我们自以为成熟的心灵，最后汇聚起来，形成我们庞大的青春,一代人就是一出有着四、五千名优。马克,A
29,以下哪句话中“年代”的意思(或用法)与其他句子不同。,"""我穿过思念齐眉的年代,手指苍白。多情而悲伤的句子,是时光腰身的流年,像水一样蔓过四季。你仍像是没有归航的船""",饥寒的年代里，理想是温饱；温饱的年代里，理想是文明；离乱的年代里，理想是安定；安定的年代里，理想是繁荣,80年代的人还需要摔打，不管做任何事，要检查主观原因,现代社会已不是大鱼吃小鱼的年代，而是快鱼吃慢鱼的年代,C
30,以下哪句话中“当局”的意思(或用法)与其他句子不同。,在一个有计划的社会中，当局所掌握的对所有消费的控制权的根源，就是它对于生产的控制,星期一，香港空气污染达到１０个月来的最高点，促使当局发出健康警告，一些地区公路测量的空气污染指数达到１２８到１４９。,当局已下令，对暴动份子格杀勿论,当局也感到众怒难犯，决心释放被禁的代表,B
31,以下哪句话中“来到”的意思(或用法)与其他句子不同。,春姑娘迈着轻盈的脚步来到了人间，她像一个快乐的精灵到处传播春的消息。她带着生命和希望步伐轻盈的走来了，她越过高山、飞过河流所到之处无不蕴涵着蓬勃的生机,防止收获季节及时来到而没有收获准备,秋姑娘来到果园里，果农正在往篮子里放着一个又一个红红的苹果黄黄的梨子橙黄橙黄的香蕉，还有像红灯笼似的柿子。各种各样的果实填满了很多个篮子，果农的脸上露出了满意的笑容,穿上衣服，来到客厅，通过玻璃看着那飘飘洒洒的雪花，可真是美哉啊！站在美丽的雪景面前我平时积累的关于写景的美词美句全都没有了印象，呆住了。只嫌自己不能像李白那样，出口成诗,B
32,以下哪句话中“难得”的意思(或用法)与其他句子不同。,难得他这么忙还惦记着我们,没有松柏恒，难得雪中青,机会是极难得的，但他具备三大成功的条件，那就是”像鹿一般会跑的腿，逛马路的闲功夫，和犹太人那样的耐性。巴尔扎克,玉兰花开了，并强调这种花在北方很难得一见，于是稀里糊涂的去赏了一次玉兰。对花一窍不通的我，其实当时也不知道我以前见没见过这种叫玉兰的花，只是知道了这花很稀奇,A
33,以下哪句话中“使得”的意思(或用法)与其他句子不同。,这个汽筒使得使不得,冬天的早晨，乳白色的薄雾轻轻的笼罩着柔和的暖阳，使得阳光变的如同隔了膜一般虚晃梦幻。而这时，如果地面上再有隔天晚上堆积的雪，那么就成了孩子们出现的必然时间,人不要跟别人比，要跟自己比。跟别人比，会使得自己永远都不快乐。跟自己比，看到自己每天都在进步，你会很快乐,朝阳温暖的照在野菊花上，使得它那娇小的花瓣流光溢彩。淡紫的花蕾里，那娇滴滴，亮晶晶的露水仿佛妙龄少女的泪珠儿，似落非落。山涧上，峡谷里，悬崖边，山洞旁，处处可见野菊花那俊俏的脸庞,A
34,以下哪句话中“土地”的意思(或用法)与其他句子不同。,海，真的海，同北方高原那片苍茫的土地一样，凝聚着一种无法言说的神秘的生命力，给人一种超越自然的深刻,希望是永远的喜悦，有如人类拥有的土地，是每年有收获、绝不会耗尽的确实财产。斯蒂文,高耸的山川是一道风景。它扎根于脚下的土地，又执著地向着高远的天空进发。它能够始终保持峻拔的状态，始终被人们仰望，是因为它能够摆脱一切束缚，骄傲地兀自挺立云霄,“老师”这个神圣的称号让我敬佩。如果老师是一土地，那我就是生长在土地上的植物；如果老师是一片天空，那我就是生活在天空上的白云，如果…,A
35,以下哪句话中“地区”的意思(或用法)与其他句子不同。,大连是东北地区最大的贸易口岸，海陆空交通便利，工业部门齐全，农渔产品丰富，社会文化生活活跃，使这座海滨名城享有“服装城”、“足球城”和“旅游城”等诸多美誉,为推动图们江地区开发，韩国捐款一百万美元设立了图们江发展基金，目前从该基金中拿出十万美元正在进行中国珲春边境合作区环境评估项目，以期对外资大规模进入这个地区提供环境方面的咨询。,金钱是能让我们去除了天堂以外的任何地区性方面军的一份护照；同时，它也能向我们提供除了幸福以外的任何东西。查尔斯·兰,庆贺新年的开始，欢度元旦可说是世界各国各地区的普遍习俗。不管是世界上哪个国家的人们，都对新的一年充满美好的希冀。在这辞旧迎新的日子里，世界各国的人们都以其别出心裁、各具特色的方式迎接新年的到来,B
36,以下哪句话中“天地”的意思(或用法)与其他句子不同。,"""记者从【香港电讯】与【中国电讯(香港)有限公司】获悉,这次烟花汇演将于初二晚上8时开始,配以喜气洋洋的音乐,在维港两岸燃放1.8万枚烟花弹,分“龙贺新岁庆团圆”、“网网相连天地欢”、“福临香江耀四海”三个主题,历时预计23分钟。""",雪后的景象更是如此，银白覆满大地，天地连成一线，模糊了边界，模糊了天地，只有那一串脚印，如细碎的花，缀在地的一角，成为静谧的注释,天地与我并生，万物与我合一,雨越下越大吗，我透过玻璃窗向外望去，天地间像挂着无比宽大的珠帘，迷蒙蒙的一片,A
37,以下哪句话中“实地”的意思(或用法)与其他句子不同。,文山区的景兴国小和景兴国中，还有新宜区的联形兵工学校都没有经过实地勘探，学生的学习环境充满了不确定危机。,十二月二十八日至三十日，朱（容加金旁）基先后考察了重庆市和湖北省的移民工作情况，实地查看了秭归新县城和移民新村，走访搬迁户了解他们的生产和生活情况。,干部们一定要能做到亲临现场，实地考察,只有脚踏实地的人，大地才乐意留下他的脚印,D
38,以下哪句话中“阵地”的意思(或用法)与其他句子不同。,我们的少数几个定期换演剧目的剧团守住了阵地,"""因寡不敌众,我军放弃了阵地""",当你从第一阵地败退时，你的各支队的集整地点必须安置于遥远的后方，使敌人不能先行赶到。让你的各支队于重新会合之前被逐一击破，那是最大的不幸,当你占领一阵地而受到被敌人包围的威胁时，你应迅速集中力量，以攻势动作恐吓敌人。在你觉得退却已不可避免的场合，用这种佯攻，便能阻止敌人分遣军队以困扰你的侧翼,A
39,以下哪句话中“典型”的意思(或用法)与其他句子不同。,老师经常结合典型事例对我们进行爱国主义教育,文学就是用语言来创造形象、典型和性格，用语言来反映现实事件、自然景然和思维过程,典型老虎．伍兹的挥杆姿势是肩膀大转而臀部小转，弧度大、扭力强，难怪伍兹可以一挥三百码。,祖国秀丽的风景一向令人赞叹！神奇的九寨沟，具有典型“克斯特”地貌的黄龙，秀丽的黄山，“山水甲天下”的桂林，“世界第一大佛”的乐山大佛，美丽的日月潭，布达拉宫，喜马拉雅山…,B
40,以下哪句话中“一点”的意思(或用法)与其他句子不同。,梅花和别的花不一样，其它的花都是怕困难，遇到一点困难就低头折节，不能勇敢的去战胜困难。一到冬天，个个都退缩了，到了暖和的春天，才又苏醒过来，可梅花不仅凌寒独自开，而且生命力也很顽强,无论什么时候，不管遇到什么情况，我绝不允许自己有一点点灰心丧气,"抓住一点,不及其余",担不得一句好话，见不得一点好脸。民,C
41,以下哪句话中“热点”的意思(或用法)与其他句子不同。,电影发生于一个架步处处的嫖赌热点，李氏又以其灵活的空间感及顺畅的场景运用，泡制出一个光怪陆离滚红滚绿乌烟瘴气的花花世界,膨化硝酸铵自敏化理论是基于热点学说,人们相当热捧北方那些冰天雪地的旅游热点,不见二次底不买，不回头确认不买，不是热点不买，下降途中不买，弱势含权、除权股不买,B
42,以下哪句话中“定位”的意思(或用法)与其他句子不同。,"""人生即使如此,找不准自已的定位,你的毕生终会庸庸碌碌,相反找到你的最佳位子,你则也许有惊人的发明力""",试图给这二十几个山顶定位,（辞去总裁只当董事长）我给自己的定位是：能不做的就不做，只解决总裁与*记不能解决的问题。牛根,正确的角色定位需要理智，及时的角色转换需要智慧,B
43,以下哪句话中“否定”的意思(或用法)与其他句子不同。,除了你自己没人能否定你,没有一朵莲花能否定污泥，没有一个今天的果实能否定昨天的种子,那个理论已被事实所否定,我要努力，以最好姿态出现在当初否定我的人面前,C
44,以下哪句话中“山东”的意思(或用法)与其他句子不同。,登州就是山东蓬莱，韩国人跟咱们套近乎的时候，就说中韩两国隔着浅浅的一道海，天气晴朗的时候，我们能够听到山东半岛的鸡叫声，也不知道什么鸡，叫那么大声,宁知山东客，激怒秦王肝。布衣取丞相，千载为辛酸,身在山东心在吴，飘蓬江海漫嗟吁。他时若遂凌云志，敢笑黄巢不丈夫,不同地方有不同的天空，广东的天空是瓦蓝的；山东的天空给人一种高高在上；完美的碧天如水；青藏高原的天是苍穹的；黄土高原的天空，是深邃无垠的，仿佛亘古未变,B
45,以下哪句话中“东西”的意思(或用法)与其他句子不同。,热爱孩子是教师生活中最主要的东西。苏霍姆林斯,「耶稣会在这儿建立了远东第一所西式大学，清代西学学者如洪秀全、林则徐、梁启超、康有为、郑观应，也都在澳门汲取养分，」魏美昌说，澳门未受二次大战战火波及，许多原始的葡文档案完整地保存着，对研究东西文化、宗教交流史的人们是一大宝库。,友情，它是一种只有付出了同样一份这样的东西，才可以得到这种东西。它和亲情、爱情一样，是一种抽象的、令人捉摸不透的东西，但却要比它们更值得我们去珍惜,经过费力才得到的东西要比不费力就得到的东西叫能另人喜爱。一目了然的真理不费力就可以懂，懂了也感到暂时的愉快，但是很快就被遗忘了。薄伽,B
46,以下哪句话中“劳动”的意思(或用法)与其他句子不同。,知识是从刻苦劳动中得来的，任何成就都是刻苦劳动的结果。宋庆,财富，是劳动所创造的。如果没有劳动，财富是不会轻易现身的,劳动生产率的高低这和一定量劳动所推动的生产资料成正比。马克,只是劳动老伯不当,D
47,以下哪句话中“动摇”的意思(或用法)与其他句子不同。,只有毅力才会使我们成功，而毅力的来源又在于毫不动摇，坚决采取为达到成功所需要的手段,不因为贫穷而改变气节，不因为地位低下而动摇,灰心生失望，失望生动摇，动摇生失败。弗兰西斯·培,但千年历史演变，无一人怀疑它的公正性和不可动摇的权威性。,B
48,以下哪句话中“行动”的意思(或用法)与其他句子不同。,行动不便,一旦做出决定就不要拖延。任何事情想到就去做！立即行动,行动才能成功，教练改变人生,在各自岗位上尽职尽责，无需豪言壮语，默默行动会诠释一切,A
49,以下哪句话中“自动”的意思(或用法)与其他句子不同。,机读码阅读机自动识别证件并记录证件上的有关资料，持证人无需再填出入境登记卡。,成功者懂得：自动自发的做事，同时为自己的所作所为承担责任,庸庸碌碌、心安理得地过下去是不道德的。而自动从战斗中退缩的人则是一个懦夫。罗曼·罗,自动自发地做事，同时为自己的所作所为承担责任，那么你终究会获得回报，取得最后的成功,A
50,以下哪句话中“独立”的意思(或用法)与其他句子不同。,民俗研究室已经独立出去了，现在叫民俗研究所。,能够改变世界的绝妙主意往往来自于独立工作的人,任何人都应该有自尊心、自信心、独立性，不然就是奴才。但自尊不是轻人，自信不是自满，独立不是孤立。徐特,距离和独立是对人格的尊重，最亲近的人之间也应该保持,A
51,以下哪句话中“一度”的意思(或用法)与其他句子不同。,曾经一度被依赖蒙蔽双眼，天真的以为这就是对你的爱,农历八月十五日是一年一度的中秋佳节。关于节日起源有很多种说法，也有很多关于这天的传说和传统。中秋节与春节清明节端午节并称为中国汉族的四大传统节日,水晶色泽晶莹华丽，据说能聚财气，一度成为格调与身价最高的招财物。,他指指自己的嘴，然后张开嘴唇：在他那一度缺牙的地方，长出了两颗阔大的、白得发青的牙齿,B
52,以下哪句话中“高度”的意思(或用法)与其他句子不同。,香港回归後，中国政府将坚定不移地执行「一国两制」、「港人治港」、「高度自治」的基本方针，保持香港原有的社会、经济制度和生活方式不变，法律基本不变。,、哥哥的眼睛高度近视，处处离不开眼镜，就像个“睁眼瞎子”一样，只要把他的眼镜见到他那两条长腿，总使人想起与火车赛跑的驼鸟,以慈母般的爱心，博得孩子的真心；以高度的责任心，赢得家长的放心；以艺术家的匠心，激发学生的创新,喷泉的高度不会超过它的源头；一个人的事业也是这样，他的成就绝不会超过自己的信念,D
53,以下哪句话中“手段”的意思(或用法)与其他句子不同。,绝不同意为了成功而不择手段，刻薄成家，理无久享,只要给自已带来信心，采取一些手段是很有必要的,近年来一些不法分子制售假冒香烟的手段也越来越隐蔽、狡猾，而且具有一定的规模。,一切不容置疑，男人的霸气通过一种温暖的手段淋淳尽臻地表现出来，你绝对拒绝不了,C
54,以下哪句话中“锻炼”的意思(或用法)与其他句子不同。,我觉得跳绳是一项很好的运动，可以锻炼腿和胳膊，冬天还能暖和身子。假如今后学校开运动会，有跳绳这个项目该多好啊！到时候我一定参加，争取得冠军,“麻烦”能让你学会很多东西，也是锻炼你自己的机会，因此不要害怕“麻烦”,没有哪一个聪明人会否定痛苦与忧愁的锻炼价值。赫胥,坚持每天做一件相同的事，很能锻炼我们，试试便知,A
55,以下哪句话中“相对”的意思(或用法)与其他句子不同。,差异化是企业竞争力的核心，相对优势是最大的优势,相对的，处理型晶片则将实验室中的前处理步骤放到晶片上来做，使用者只要直接将血液滴到处理型晶片上，就可以得知结果。,其他「乡土小说」里写了许多可怜、委屈、受难的老人的故事，用这些故事来进行控诉，要求改革，黄春明相对就温和得多了，并不是因为他觉得现实状况没什么不好，而是因为他就是不忍心。,虽然你的思维相对于宇宙智慧来说只不过是汪洋中的一滴水，但这滴水却凝聚着海洋的全部财富；是质量上的一而非数量上的一；你的思维拥有一切宇宙智慧,B
56,以下哪句话中“绝对”的意思(或用法)与其他句子不同。,领导绝对不会错，服从总是没有错,人的才华就如海绵的水，没有外力的挤压，它是绝对流不出来的,在五百家企业中，港澳地区仍以二百四十一家的绝对多数保持了第一位，但所占比重连续两年有所下降，所占五百家总数由上两年的百分之五十六和百分之五十一下降为百分之四十八，首次出现不过半数的情况。,不干，固然遇不着失败，也绝对遇不着成功。邹韬,C
57,以下哪句话中“反应”的意思(或用法)与其他句子不同。,放热反应,成功的关键在于我们对失败的反应,雨落！我还没有反应过来，雨柱已从天上直泻而下，打在房子上，落在大路上，砸在行人和车上，发出扑通的声音，似乎是大自然要开一场宏伟的音乐会,快乐的秘诀是：让兴趣尽可能地扩张，对人对物的反应尽可能出自善意而不是恶意的兴趣,A
58,以下哪句话中“方向”的意思(或用法)与其他句子不同。,关爱，就像一盏明灯，照亮我们前进的方向；关爱，就像一个太阳，给予我们无穷的力量；关爱，让人充满信心…,顺着箭头的方向,母亲是黑夜中的一颗明星。当你不辨方向时，一束柔光指引你迈开坚定的脚步,希望是灯塔，照亮你前行的方向；希望是清泉，唤醒你心中奋斗的力量；希望是春风，为成功播撒了种子,B
59,以下哪句话中“西方”的意思(或用法)与其他句子不同。,太阳渐渐从西方落下，天边出现了彩霞，色彩斑斓的霞光映在了湖面上。从远处和天边接在了一起，水天一色，这时的洞庭湖更美了。就像只用色彩渲染，而不用墨线勾勒的风景画那样,夏日最美的是日落。西方那蓝色的天空，仿佛被一个技术高超的粉刷匠给粉刷成了金黄色，那颜色越来越浅，越来越浅，直至无影无踪，这个情景的确艳色缤纷,我闭上眼睛，太阳在东方；我睁开眼睛，太阳又在西方,我不像西方的演员，以赚钱与享乐为重，我以事业与家庭为重。李连,D
